TMM,endorsed by BBD,endorsed by BFE
"Albuquerque, Ana (Precinct 1)",yes,no
"Albuquerque, Rui (Precinct 1)",no,no
"Cavell, Cathleen C. (Precinct 1)",no,yes
"Daley, Susan Helms (Precinct 1)",yes,no
"Ericsson, Sarah (Precinct 1)",no,no
"Evenson, Amy R. (Precinct 1)",no,no
"Gordon, Neil R. (Precinct 1)",no,no
"Hillman, Carol B. (Precinct 1)",no,no
"Ingraham, Katherine A (Precinct 1)",no,no
"Kimball, Bradford (Precinct 1)",no,yes
"King, Louise (Precinct 1)",no,no
"Lynn-Jones, Sean M. (Precinct 1)",yes,no
"Moghtader, Sarah (Precinct 1)",no,no
"Neuefeind, Bettina (Precinct 1)",no,no
"Schoen, Robert (Precinct 1)",no,no
"Couture-Stone, Elise (Precinct 2)",no,yes
"Franco, James F. (Precinct 2)",no,no
"Gladstone, Carol W. (Precinct 2)",no,no
"Hochberg, Brenda (Precinct 2)",yes,yes
"Miller, Robert M. (Precinct 2)",no,no
"Newsome, Colleen (Precinct 2)",no,yes
"Penzel, Markus L. (Precinct 2)",no,no
"Richardson, Kimberley (Precinct 2)",no,no
"Roberts, Pamela L. (Precinct 2)",yes,no
"Scotto, Barbara C. (Precinct 2)",yes,no
"Seidman, Katha R. (Precinct 2)",no,no
"Snyder, Richard (Precinct 2)",no,no
"Soiffer, Ariel (Precinct 2)",no,no
"Toomey, Maura (Precinct 2)",yes,no
"Trevvett, David (Precinct 2)",no,no
"Becker, Kathryn M. (Precinct 3)",no,yes
"Bohrs, Harry K. (Precinct 3)",yes,no
"Dewart, Mary D. (Precinct 3)",no,no
"Dewart, Murray (Precinct 3)",no,no
"Doughty, Dennis L. (Precinct 3)",yes,no
"Frumkin, Peter (Precinct 3)",no,yes
"Hahn, Gina Marie (Precinct 3)",no,no
"Heyman, Leigh (Precinct 3)",no,yes
"Leka, Donald G. (Precinct 3)",no,no
"Liautaud, Joanne (Precinct 3)",no,no
"Robotham, Margaret (Precinct 3)",no,yes
"Scanlon, Kathleen M. (Precinct 3)",no,no
"Steinfield, Frank R. (Precinct 3)",no,yes
"Stone, Rebecca E. (Precinct 3)",no,no
"Turner, Anne L. (Precinct 3)",no,no
"Aziz, Arslan Ahmad (Precinct 4)",no,yes
"Barstow, Lisa (Precinct 4)",no,no
"Childs, Elizabeth (Precinct 4)",no,no
"Christ, Alan (Precinct 4)",no,no
"Daves, Robert S. (Precinct 4)",no,no
"Dempsey, Christopher (Precinct 4)",no,no
"Gonzalez, Massiel (Precinct 4)",no,yes
"Hyatt, Matthew (Precinct 4)",no,no
"Linder, Liz (Precinct 4)",no,no
"Machmuller, Wendy S. (Precinct 4)",no,no
"O'Neal, Sr., Donelle S. (Precinct 4)",no,no
"Priestly, Vena (Precinct 4)",yes,no
"Raitt, Jennifer Maris (Precinct 4)",no,yes
"Sears, Lisamarie (Precinct 4)",no,no
"Teame, Awet (Precinct 4)",no,no
"Bastien, Bonnie M. (Precinct 5)",no,no
"England, Kevin Allen (Precinct 5)",no,no
"Flint, Anthony Evans (Precinct 5)",no,no
"Friedman, Wendy (Precinct 5)",no,no
"Grossman, Perry (Precinct 5)",no,no
"Gruzman, Ariel (Precinct 5)",no,no
"Huntington, Ian (Precinct 5)",no,no
"Mabrouk, Omar S. (Precinct 5)",no,no
"Mattison, Hugh (Precinct 5)",no,no
"Milhem, Jessica (Precinct 5)",no,yes
"Miller, Beth (Precinct 5)",no,no
"O'Leary, Paul (Precinct 5)",no,no
"O'Leary, Phyllis R. (Precinct 5)",no,no
"Reyelt, William E. (Precinct 5)",no,yes
"Stahl, Wendy (Precinct 5)",no,no
"Anderson, Catherine C. (Precinct 6)",no,no
"Bassett, John (Precinct 6)",no,no
"Conquest, III, Arthur Wellington (Precinct 6)",no,no
"Correa, Patricia Ann (Precinct 6)",no,no
"Englander, Scott L. (Precinct 6)",no,no
"Fishman, Daniel (Precinct 6)",no,yes
"Kitov, Ruvi (Precinct 6)",no,no
"Perlman, Bitsy (Precinct 6)",no,no
"Porter, David (Precinct 6)",no,no
"Richmond, Clinton Q. (Precinct 6)",no,no
"Rudolph, Jeffrey David (Precinct 6)",no,no
"Sheinin, Maxim (Precinct 6)",no,yes
"Smith, Kim (Precinct 6)",yes,yes
"Smith, Virginia A. (Precinct 6)",yes,no
"Vogt, Marissa F. (Precinct 6)",no,no
"Eber, David Gordon (Precinct 7)",no,no
"Falke, Roberta M. (Precinct 7)",no,no
"Frey, Ernest A. (Precinct 7)",no,no
"Hardebeck, Kelly A. (Precinct 7)",no,no
"Hebert, John P. (Precinct 7)",no,no
"Levy, Mark E. (Precinct 7)",no,no
"Maher, Patricia (Precinct 7)",no,no
"Margolis, Jonathan J. (Precinct 7)",no,no
"Newell, Amy Isikoff (Precinct 7)",no,no
"Schultz, Aylit (Precinct 7)",yes,yes
"Silberberg, Isaac (Precinct 7)",no,yes
"Stokes, Colin S. (Precinct 7)",no,yes
"Stokes, Jessica W. (Precinct 7)",no,no
"Wu, Chi Chi (Precinct 7)",no,yes
"Zimmerman, Amanda (Precinct 7)",no,yes
"Burns, Tracie (Precinct 8)",yes,yes
"Carlson, Nels Richard (Precinct 8)",no,no
"Egozy, Yukiko Ueno (Precinct 8)",no,yes
"Harris, John (Precinct 8)",no,no
"Heinemann, William W. (Precinct 8)",no,no
"Heller, Nancy (Precinct 8)",no,no
"Homer, Charles (Precinct 8)",no,no
"Johnson, Anita (Precinct 8)",yes,no
"Lebovitz, Alexander (Precinct 8)",no,no
"Mark, Daria (Precinct 8)",no,no
"Perler, Francine B. (Precinct 8)",no,no
"Sievers, Mary (Precinct 8)",yes,yes
"Stone, Eric C. (Precinct 8)",no,no
"Toffel, Michael W. (Precinct 8)",yes,yes
"Tytell, David Edward (Precinct 8)",no,no
"Biernbaum, Lee L. (Precinct 9)",no,no
"Buono, Anthony J. (Precinct 9)",no,yes
"Caldeira, Matthew (Precinct 9)",no,no
"Freedman-Gurspan, Marion (Precinct 9)",no,no
