precinct,name,member_key,brookline_by_design,brookline_by_design_source_name,brookline_for_everyone,brookline_for_everyone_source_name,endorsement_bucket
1,"Albuquerque, Ana","Albuquerque, Ana (Precinct 1)",yes,Ana Albuquerque,no,,brookline_by_design
1,"Albuquerque, Rui","Albuquerque, Rui (Precinct 1)",no,,no,,neither
1,"Cavell, Cathleen C.","Cavell, Cathleen C. (Precinct 1)",no,,yes,Cathleen Cavell,brookline_for_everyone
1,"Daley, Susan Helms","Daley, Susan Helms (Precinct 1)",yes,Susan Helms Daley,no,,brookline_by_design
1,"Ericsson, Sarah","Ericsson, Sarah (Precinct 1)",no,,no,,neither
1,"Evenson, Amy R.","Evenson, Amy R. (Precinct 1)",no,,no,,neither
1,"Gordon, Neil R.","Gordon, Neil R. (Precinct 1)",no,,no,,neither
1,"Hillman, Carol B.","Hillman, Carol B. (Precinct 1)",no,,no,,neither
1,"Ingraham, Katherine A","Ingraham, Katherine A (Precinct 1)",no,,no,,neither
1,"Kimball, Bradford","Kimball, Bradford (Precinct 1)",no,,yes,Bradford Kimball,brookline_for_everyone
1,"King, Louise","King, Louise (Precinct 1)",no,,no,,neither
1,"Lynn-Jones, Sean M.","Lynn-Jones, Sean M. (Precinct 1)",yes,Sean M. Lynn-Jones,no,,brookline_by_design
1,"Moghtader, Sarah","Moghtader, Sarah (Precinct 1)",no,,no,,neither
1,"Neuefeind, Bettina","Neuefeind, Bettina (Precinct 1)",no,,no,,neither
1,"Schoen, Robert","Schoen, Robert (Precinct 1)",no,,no,,neither
2,"Couture-Stone, Elise","Couture-Stone, Elise (Precinct 2)",no,,yes,Elise Couture-Stone,brookline_for_everyone
2,"Franco, James F.","Franco, James F. (Precinct 2)",no,,no,,neither
2,"Gladstone, Carol W.","Gladstone, Carol W. (Precinct 2)",no,,no,,neither
2,"Hochberg, Brenda","Hochberg, Brenda (Precinct 2)",yes,Brenda Hochberg,yes,Brenda Hochberg,both
2,"Miller, Robert M.","Miller, Robert M. (Precinct 2)",no,,no,,neither
2,"Newsome, Colleen","Newsome, Colleen (Precinct 2)",no,,yes,Colleen Newsome,brookline_for_everyone
2,"Penzel, Markus L.","Penzel, Markus L. (Precinct 2)",no,,no,,neither
2,"Richardson, Kimberley","Richardson, Kimberley (Precinct 2)",no,,no,,neither
2,"Roberts, Pamela L.","Roberts, Pamela L. (Precinct 2)",yes,Pamela L. Roberts,no,,brookline_by_design
2,"Scotto, Barbara C.","Scotto, Barbara C. (Precinct 2)",yes,Barbara C. Scotto,no,,brookline_by_design
2,"Seidman, Katha R.","Seidman, Katha R. (Precinct 2)",no,,no,,neither
2,"Snyder, Richard","Snyder, Richard (Precinct 2)",no,,no,,neither
2,"Soiffer, Ariel","Soiffer, Ariel (Precinct 2)",no,,no,,neither
2,"Toomey, Maura","Toomey, Maura (Precinct 2)",yes,Maura Toomey,no,,brookline_by_design
2,"Trevvett, David","Trevvett, David (Precinct 2)",no,,no,,neither
3,"Becker, Kathryn M.","Becker, Kathryn M. (Precinct 3)",no,,yes,Kathryn Becker,brookline_for_everyone
3,"Bohrs, Harry K.","Bohrs, Harry K. (Precinct 3)",yes,Harry K. Bohrs,no,,brookline_by_design
3,"Dewart, Mary D.","Dewart, Mary D. (Precinct 3)",no,,no,,neither
3,"Dewart, Murray","Dewart, Murray (Precinct 3)",no,,no,,neither
3,"Doughty, Dennis L.","Doughty, Dennis L. (Precinct 3)",yes,Dennis L. Doughty,no,,brookline_by_design
3,"Frumkin, Peter","Frumkin, Peter (Precinct 3)",no,,yes,Peter Frumkin,brookline_for_everyone
3,"Hahn, Gina Marie","Hahn, Gina Marie (Precinct 3)",no,,no,,neither
3,"Heyman, Leigh","Heyman, Leigh (Precinct 3)",no,,yes,Leigh Heyman,brookline_for_everyone
3,"Leka, Donald G.","Leka, Donald G. (Precinct 3)",no,,no,,neither
3,"Liautaud, Joanne","Liautaud, Joanne (Precinct 3)",no,,no,,neither
3,"Robotham, Margaret","Robotham, Margaret (Precinct 3)",no,,yes,Margaret Robotham,brookline_for_everyone
3,"Scanlon, Kathleen M.","Scanlon, Kathleen M. (Precinct 3)",no,,no,,neither
3,"Steinfield, Frank R.","Steinfield, Frank R. (Precinct 3)",no,,yes,Frank Steinfield,brookline_for_everyone
3,"Stone, Rebecca E.","Stone, Rebecca E. (Precinct 3)",no,,no,,neither
3,"Turner, Anne L.","Turner, Anne L. (Precinct 3)",no,,no,,neither
4,"Aziz, Arslan Ahmad","Aziz, Arslan Ahmad (Precinct 4)",no,,yes,Arslan Aziz,brookline_for_everyone
4,"Barstow, Lisa","Barstow, Lisa (Precinct 4)",no,,no,,neither
4,"Childs, Elizabeth","Childs, Elizabeth (Precinct 4)",no,,no,,neither
4,"Christ, Alan","Christ, Alan (Precinct 4)",no,,no,,neither
4,"Daves, Robert S.","Daves, Robert S. (Precinct 4)",no,,no,,neither
4,"Dempsey, Christopher","Dempsey, Christopher (Precinct 4)",no,,no,,neither
4,"Gonzalez, Massiel","Gonzalez, Massiel (Precinct 4)",no,,yes,Massiel Gonzalez,brookline_for_everyone
4,"Hyatt, Matthew","Hyatt, Matthew (Precinct 4)",no,,no,,neither
4,"Linder, Liz","Linder, Liz (Precinct 4)",no,,no,,neither
4,"Machmuller, Wendy S.","Machmuller, Wendy S. (Precinct 4)",no,,no,,neither
4,"O'Neal, Sr., Donelle S.","O'Neal, Sr., Donelle S. (Precinct 4)",no,,no,,neither
4,"Priestly, Vena","Priestly, Vena (Precinct 4)",yes,Vena Priestly,no,,brookline_by_design
4,"Raitt, Jennifer Maris","Raitt, Jennifer Maris (Precinct 4)",no,,yes,Jennifer Raitt,brookline_for_everyone
4,"Sears, Lisamarie","Sears, Lisamarie (Precinct 4)",no,,no,,neither
4,"Teame, Awet","Teame, Awet (Precinct 4)",no,,no,,neither
5,"Bastien, Bonnie M.","Bastien, Bonnie M. (Precinct 5)",no,,no,,neither
5,"England, Kevin Allen","England, Kevin Allen (Precinct 5)",no,,no,,neither
5,"Flint, Anthony Evans","Flint, Anthony Evans (Precinct 5)",no,,no,,neither
5,"Friedman, Wendy","Friedman, Wendy (Precinct 5)",no,,no,,neither
5,"Grossman, Perry","Grossman, Perry (Precinct 5)",no,,no,,neither
5,"Gruzman, Ariel","Gruzman, Ariel (Precinct 5)",no,,no,,neither
5,"Huntington, Ian","Huntington, Ian (Precinct 5)",no,,no,,neither
5,"Mabrouk, Omar S.","Mabrouk, Omar S. (Precinct 5)",no,,no,,neither
5,"Mattison, Hugh","Mattison, Hugh (Precinct 5)",no,,no,,neither
5,"Milhem, Jessica","Milhem, Jessica (Precinct 5)",no,,yes,Jessica Milhem,brookline_for_everyone
5,"Miller, Beth","Miller, Beth (Precinct 5)",no,,no,,neither
5,"O'Leary, Paul","O'Leary, Paul (Precinct 5)",no,,no,,neither
5,"O'Leary, Phyllis R.","O'Leary, Phyllis R. (Precinct 5)",no,,no,,neither
5,"Reyelt, William E.","Reyelt, William E. (Precinct 5)",no,,yes,William Reyelt,brookline_for_everyone
